"name","allsides_page","bias","agree","disagree","agree_ratio","agreeance_text","website"
"Boing Boing","https://www.allsides.com/news-source/boing-boing","left","707","455","1.5538461538461539","agrees","http://en.wikipedia.org/wiki/Boing_Boing"
"Boston Herald","https://www.allsides.com/news-source/boston-herald-media-bias","right-center","251","199","1.2613065326633166","somewhat agrees",""
"Boston Herald Editorial","https://www.allsides.com/news-source/boston-herald-editorial-media-bias","right-center","125","95","1.3157894736842106","somewhat agrees",""
"Bowling Green Daily News","https://www.allsides.com/news-source/bowling-green-daily-news","left-center","465","483","0.9627329192546584","somewhat disagrees","http://www.bgdailynews.com/"
"Breitbart News","https://www.allsides.com/news-source/breitbart","right","12237","6686","1.8302422973377206","agrees","http://www.breitbart.com/"
"Business Insider","https://www.allsides.com/news-source/business-insider","center","1633","1764","0.9257369614512472","somewhat disagrees","http://www.businessinsider.com/"
"Bustle","https://www.allsides.com/news-source/bustle","left-center","614","624","0.9839743589743589","somewhat disagrees","http://www.bustle.com/"
"BuzzFeed News","https://www.allsides.com/news-source/buzzfeed-media-bias","left-center","3205","4396","0.7290718835304822","somewhat disagrees","http://Buzzfeed.com"
"C-SPAN","https://www.allsides.com/news-source/c-span","center","2532","756","3.3492063492063493","absolutely agrees","http://www.c-span.org/"
"CalMatters","https://www.allsides.com/news-source/calmatters","center","534","412","1.296116504854369","somewhat agrees","http://calmatters.org/"
"CalWatchdog","https://www.allsides.com/news-source/calwatchdog","center","413","442","0.9343891402714932","somewhat disagrees","http://www.calwatchdog.com/"
"Care 2","https://www.allsides.com/news-source/care-2","left","471","479","0.9832985386221295","somewhat disagrees","http://www.care2.com"
"CBN","https://www.allsides.com/news-source/cbn","right","4979","2688","1.8523065476190477","agrees","http://www.cbn.com/"
"CBS News","https://www.allsides.com/news-source/cbs-news-media-bias","left-center","4510","3959","1.1391765597373074","somewhat agrees","http://www.cbs.com/"
"Center - Major Media Sources","https://www.allsides.com/news-source/center-major-media-sources","center","506","441","1.1473922902494331","somewhat agrees",""
"Center for Public Integrity","https://www.allsides.com/news-source/center-public-integrity","left-center","530","602","0.8803986710963455","somewhat disagrees","http://www.publicintegrity.org/"
"Centre View","https://www.allsides.com/news-source/centre-view","left-center","432","491","0.879837067209776","somewhat disagrees","http://www.centre-view.com"
"Chicago Sun-Times","https://www.allsides.com/news-source/chicago-sun-times","left-center","592","582","1.0171821305841924","somewhat agrees","http://chicago.suntimes.com/"
"Chicago Tribune","https://www.allsides.com/news-source/chicago-tribune","center","1347","2309","0.5833694239930706","disagrees","http://www.chicagotribune.com/"
"Christian Science Monitor","https://www.allsides.com/news-source/christian-science-monitor","center","7095","9765","0.7265745007680492","somewhat disagrees","http://www.csmonitor.com/"
"City Journal","https://www.allsides.com/news-source/city-journal-media-bias","right","166","149","1.1140939597315436","somewhat agrees","http://www.city-journal.org"
"CNBC","https://www.allsides.com/news-source/cnbc","center","1372","3604","0.3806881243063263","strongly disagrees","http://cnbc.com"
"CNN (Web News)","https://www.allsides.com/news-source/cnn-media-bias","left-center","23787","24523","0.9699873588060188","somewhat disagrees","http://www.cnn.com"
"CNN - Editorial","https://www.allsides.com/news-source/cnn-editorial","left","4328","1430","3.0265734265734268","absolutely agrees",""
"CNS News","https://www.allsides.com/news-source/cns-news","right","739","607","1.2174629324546953","somewhat agrees","http://www.cnsnews.com"
"CNSNews.com","https://www.allsides.com/news-source/cnsnewscom","right","691","576","1.1996527777777777","somewhat agrees","http://cnsnews.com/"
"Commentary Magazine","https://www.allsides.com/news-source/commentary-magazine-media-bias","right","99","85","1.1647058823529413","somewhat agrees",""
"Conservative HQ","https://www.allsides.com/news-source/conservative-hq","right","674","273","2.468864468864469","strongly agrees","http://www.conservativehq.com/"
"Cook Report","https://www.allsides.com/news-source/cook-report","center","779","453","1.7196467991169977","agrees","http://cookpolitical.com"
"Counter Currents","https://www.allsides.com/news-source/counter-currents","left-center","276","181","1.5248618784530388","agrees","http://www.countercurrents.org/"
"Counterpointing","https://www.allsides.com/news-source/counterpointing","allsides","306","275","1.1127272727272728","somewhat agrees","http://www.counterpointing.com/"
"CrowdPAC","https://www.allsides.com/news-source/crowdpac","center","319","327","0.9755351681957186","somewhat disagrees","https://www.crowdpac.com/"
"CU Independent","https://www.allsides.com/news-source/cu-independent","center","269","307","0.8762214983713354","somewhat disagrees","http://cuindependent.com/"
"Current Affairs","https://www.allsides.com/news-source/current-affairs-media-bias","left","144","50","2.88","strongly agrees","https://www.currentaffairs.org"
"Daily Beast","https://www.allsides.com/news-source/daily-beast-media-bias","left","4619","3556","1.2989313835770528","somewhat agrees","http://www.thedailybeast.com/"
"Daily Cardinal","https://www.allsides.com/news-source/daily-cardinal","center","318","340","0.9352941176470588","somewhat disagrees","http://www.dailycardinal.com/"
"Daily Kos","https://www.allsides.com/news-source/daily-kos","left","3934","1573","2.500953591862683","strongly agrees","http://www.dailykos.com"
"Daily Mail","https://www.allsides.com/news-source/daily-mail","right","1047","932","1.1233905579399142","somewhat agrees","http://dailymail.co.uk"
"Daily Northwestern","https://www.allsides.com/news-source/daily-northwestern","left-center","288","280","1.0285714285714285","somewhat agrees","http://dailynorthwestern.com/"
"Daily Press","https://www.allsides.com/news-source/daily-press","right-center","261","348","0.75","somewhat disagrees","http://www.dailypress.com"
"Daily Progress","https://www.allsides.com/news-source/daily-progress","center","330","320","1.03125","somewhat agrees","http://www.dailyprogress.com"
"Daily Targum","https://www.allsides.com/news-source/daily-targum","left-center","177","311","0.5691318327974276","disagrees","http://www.dailytargum.com/"
"Defense One","https://www.allsides.com/news-source/defense-one-media-bias","center","108","111","0.972972972972973","somewhat disagrees",""
"Democracy Now","https://www.allsides.com/news-source/democracy-now","left","3440","1498","2.2963951935914553","strongly agrees","http://www.democracynow.org/"
"Deseret News","https://www.allsides.com/news-source/deseret-news","right-center","950","1464","0.6489071038251366","disagrees","http://www.deseretnews.com/"
"Diplomatic Courier","https://www.allsides.com/news-source/diplomatic-courier","center","260","195","1.3333333333333333","somewhat agrees","http://www.diplomaticourier.com/"
"Drudge Report","https://www.allsides.com/news-source/drudge-report","right-center","1701","1040","1.635576923076923","agrees","http://www.drudgereport.com/"
"Duke Chronicle","https://www.allsides.com/news-source/duke-chronicle","center","314","297","1.0572390572390573","somewhat agrees","http://www.dukechronicle.com/"
"Esquire","https://www.allsides.com/news-source/esquire","left","744","422","1.7630331753554502","agrees",""
"Estes Park Trail Gazette","https://www.allsides.com/news-source/estes-park-trail-gazette","center","164","236","0.6949152542372882","somewhat disagrees","http://www.eptrail.com/"
"Eurek Alert","https://www.allsides.com/news-source/eurek-alert","center","261","291","0.8969072164948454","somewhat disagrees","http://www.eurekalert.org/"
"Fact Checker Blog","https://www.allsides.com/news-source/fact-checker-blog","center","615","509","1.2082514734774066","somewhat agrees",""
"FactCheck.org","https://www.allsides.com/news-source/factcheckorg-media-bias","center","4383","3074","1.425829538061158","somewhat agrees","http://factcheck.org/"
"Fair.org","https://www.allsides.com/news-source/fairorg","center","381","368","1.0353260869565217","somewhat agrees","http://fair.org/"
"Falls Church News - Press","https://www.allsides.com/news-source/falls-church-news-press","left","313","380","0.8236842105263158","somewhat disagrees","http://www.fcnp.com"
"Financial Times","https://www.allsides.com/news-source/financial-times-media-bias","center","254","146","1.7397260273972603","agrees",""
"Fiscal Times","https://www.allsides.com/news-source/fiscal-times","right-center","625","480","1.3020833333333333","somewhat agrees","http://www.thefiscaltimes.com/"
"FiveThirtyEight","https://www.allsides.com/news-source/fivethirtyeight-0","center","2640","1535","1.719869706840391","agrees","http://fivethirtyeight.com/"
"Forbes","https://www.allsides.com/news-source/forbes","center","2140","1529","1.3996075866579463","somewhat agrees","http://www.forbes.com/"
"Foreign Affairs","https://www.allsides.com/news-source/foreign-affairs","center","698","384","1.8177083333333333","agrees","https://www.foreignaffairs.com"
"Fox News","https://www.allsides.com/news-source/fox-news-media-bias","right-center","18371","27882","0.6588838677282834","disagrees","http://www.foxnews.com/"
"Fox News Editorial","https://www.allsides.com/news-source/fox-news-editorial-media-bias","right","2395","770","3.1103896103896105","absolutely agrees","http://www.foxnews.com/opinion.html"
"Fox News Latino","https://www.allsides.com/news-source/fox-news-latino","right","1521","790","1.9253164556962026","agrees","http://latino.foxnews.com/index.html"
"FrontPage Magazine","https://www.allsides.com/news-source/frontpage-magazine","right","406","309","1.313915857605178","somewhat agrees","http://frontpagemag.com/"
"Grist","https://www.allsides.com/news-source/grist","left-center","379","403","0.9404466501240695","somewhat disagrees",""
"Hampton Roads Messanger","https://www.allsides.com/news-source/hampton-roads-messanger","center","295","313","0.9424920127795527","somewhat disagrees","http://www.hamptonroadsmessenger.com/"
"Harvard Business School","https://www.allsides.com/news-source/harvard-business-school","left-center","549","659","0.8330804248861912","somewhat disagrees","http://hbswk.hbs.edu/"
"Herald Democrat","https://www.allsides.com/news-source/herald-democrat-0","left","380","280","1.3571428571428572","somewhat agrees","http://heralddemocrat.com/"
"Honolulu Civil Beat","https://www.allsides.com/news-source/honolulu-civil-beat","center","250","334","0.7485029940119761","somewhat disagrees",""
"HotAir","https://www.allsides.com/news-source/hotair","right-center","818","751","1.0892143808255659","somewhat agrees","http://hotair.com/"
"How Do We Fix It?","https://www.allsides.com/news-source/how-do-we-fix-it","center","513","508","1.0098425196850394","somewhat agrees",""
"HuffPost","https://www.allsides.com/news-source/huffpost-media-bias","left","15972","18407","0.8677133699136198","somewhat disagrees","http://www.huffingtonpost.com/"
"Inacow","https://www.allsides.com/news-source/inacow","right","306","189","1.619047619047619","agrees","http://www.inacow.com/"
"Independent Journal Review","https://www.allsides.com/news-source/independent-journal-review","right-center","1058","928","1.1400862068965518","somewhat agrees","http://www.ijreview.com/"
"Indiana Daily Student","https://www.allsides.com/news-source/indiana-daily-student","center","216","282","0.7659574468085106","somewhat disagrees","http://www.idsnews.com/"
"Indy Online","https://www.allsides.com/news-source/indy-online","center","207","224","0.9241071428571429","somewhat disagrees","https://www.theindyonline.com/"
"Indy Week","https://www.allsides.com/news-source/indy-week","left-center","238","280","0.85","somewhat disagrees","http://www.indyweek.com/"
"InfoWars","https://www.allsides.com/news-source/infowars","right","3760","811","4.636251541307028","absolutely agrees","http://www.infowars.com/"
"Inside Philanthropy","https://www.allsides.com/news-source/inside-philanthropy","center","223","253","0.8814229249011858","somewhat disagrees",""
"Intellectual Conservative","https://www.allsides.com/news-source/intellectual-conservative","right-center","298","304","0.9802631578947368","somewhat disagrees",""
"International Business Times","https://www.allsides.com/news-source/international-business-times","center","832","657","1.2663622526636225","somewhat agrees","http://www.ibtimes.com/"
"Investor's Business Daily","https://www.allsides.com/news-source/investors-business-daily","right-center","726","628","1.1560509554140128","somewhat agrees","http://www.investors.com"
"IVN","https://www.allsides.com/news-source/ivn","center","313","293","1.068259385665529","somewhat agrees","http://www.ivn.us"
"Jacobin","https://www.allsides.com/news-source/jacobin-media-bias","left","100","16","6.25","absolutely agrees","https://jacobinmag.com/"
"Journalist's Resource","https://www.allsides.com/news-source/journalists-resource","center","176","221","0.7963800904977375","somewhat disagrees","http://journalistsresource.org/"
"Jubilee Media","https://www.allsides.com/news-source/jubilee-media-bias","center","51","36","1.4166666666666667","somewhat agrees","https://www.jubileemedia.com/"
"Judicial Watch","https://www.allsides.com/news-source/judicial-watch","right-center","888","999","0.8888888888888888","somewhat disagrees","http://www.judicialwatch.org"
"KQED","https://www.allsides.com/news-source/kqed","center","375","298","1.2583892617449663","somewhat agrees","http://KQED.org"
"KSL","https://www.allsides.com/news-source/ksl","right","699","512","1.365234375","somewhat agrees","http://www.ksl.com/"
"Las Vegas Sun","https://www.allsides.com/news-source/las-vegas-sun","left-center","197","201","0.9800995024875622","somewhat disagrees","http://lasvegassun.com/"
"Leesburg Today","https://www.allsides.com/news-source/leesburg-today","right-center","131","122","1.0737704918032787","somewhat agrees","http://www.leesburgtoday.com"
"Left - Major Media Sources","https://www.allsides.com/news-source/left-major-publications","left","461","348","1.3247126436781609","somewhat agrees",""
"Lifehacker","https://www.allsides.com/news-source/lifehacker","center","196","168","1.1666666666666667","somewhat agrees","http://www.lifehacker.com/"
"Listen First Project","https://www.allsides.com/news-source/listen-first-project-media-bias","allsides","51","41","1.2439024390243902","somewhat agrees","http://www.listenfirstproject.org/"
"Live Action News","https://www.allsides.com/news-source/live-action-news","right-center","169","122","1.3852459016393444","somewhat agrees","http://liveactionnews.org/"
"Living Room Conversations","https://www.allsides.com/news-source/living-room-conversations","allsides","878","1124","0.7811387900355872","somewhat disagrees","http://www.livingroomconversations.org/"
"Longmont Times-Call","https://www.allsides.com/news-source/longmont-times-call","left-center","106","117","0.905982905982906","somewhat disagrees","http://www.timescall.com/"
"Los Angeles Times","https://www.allsides.com/news-source/los-angeles-times-bias","left-center","3072","2428","1.2652388797364085","somewhat agrees","http://www.latimes.com/"
"Louisville Courier-Journal","https://www.allsides.com/news-source/louisville-courier-journal","left-center","132","127","1.0393700787401574","somewhat agrees","http://www.courier-journal.com/"
"Mashable","https://www.allsides.com/news-source/mashable","left","279","82","3.402439024390244","absolutely agrees",""
"Media Matters","https://www.allsides.com/news-source/media-matters-bias","left","2129","1271","1.6750590086546027","agrees","https://www.mediamatters.org/"
"Media Research Center","https://www.allsides.com/news-source/media-research-center","right","1111","1324","0.8391238670694864","somewhat disagrees",""
"Mediaite","https://www.allsides.com/news-source/mediaite-bias","left-center","546","569","0.9595782073813708","somewhat disagrees","http://www.mediaite.com/"
"Miami Herald","https://www.allsides.com/news-source/miami-herald","left-center","192","198","0.9696969696969697","somewhat disagrees","http://www.miamiherald.com/"
"MichelleMalkin.com","https://www.allsides.com/news-source/michellemalkincom","right","447","207","2.1594202898550723","strongly agrees","http://michellemalkin.com/"
"Michigan Daily","https://www.allsides.com/news-source/michigan-daily","left-center","157","142","1.1056338028169015","somewhat agrees","https://www.michigandaily.com/"
"Mismatch.org","https://www.allsides.com/news-source/mismatchorg-media-bias","allsides","25","38","0.6578947368421053","disagrees","https://www.mismatch.org/"
"MIT News","https://www.allsides.com/news-source/mit-news","center","163","129","1.2635658914728682","somewhat agrees","http://news.mit.edu"
"Mother Jones","https://www.allsides.com/news-source/mother-jones-bias","left","3106","689","4.5079825834542815","absolutely agrees","http://www.motherjones.com/"
"MSNBC","https://www.allsides.com/news-source/msnbc","left","3250","1316","2.4696048632218845","strongly agrees","http://www.msnbc.com/"
"National Journal","https://www.allsides.com/news-source/national-journal","center","842","610","1.380327868852459","somewhat agrees","http://www.nationaljournal.com/"
"National Review","https://www.allsides.com/news-source/national-review","right","6936","3373","2.056329676845538","strongly agrees","http://www.nationalreview.com/"
"NBC Today Show","https://www.allsides.com/news-source/nbc-today-show","left-center","937","1059","0.8847969782813976","somewhat disagrees","http://www.today.com/"
"NBCNews.com","https://www.allsides.com/news-source/nbc-news-media-bias","left-center","3037","3983","0.7624905849861913","somewhat disagrees","http://www.nbcnews.com"
"New Republic","https://www.allsides.com/news-source/new-republic","left","1123","620","1.8112903225806452","agrees","http://www.newrepublic.com/"
"New York Daily News","https://www.allsides.com/news-source/new-york-daily-news","left","860","342","2.5146198830409356","strongly agrees",""
"New York Magazine","https://www.allsides.com/news-source/new-york-magazine","left","1365","592","2.3057432432432434","strongly agrees","http://nymag.com/"
"New York Post","https://www.allsides.com/news-source/new-york-post","right","2147","1586","1.353720050441362","somewhat agrees","http://www.nypost.com/"
"New York Times - News","https://www.allsides.com/news-source/new-york-times","left-center","12906","22204","0.5812466222302288","disagrees","http://www.nytimes.com/"
"New York Times - Opinion","https://www.allsides.com/news-source/new-york-times-opinion-media-bias","left","672","225","2.986666666666667","strongly agrees",""
"Newsmax","https://www.allsides.com/news-source/newsmax","right","5753","7786","0.7388903159517082","somewhat disagrees","http://www.newsmax.com/"
"Newsweek","https://www.allsides.com/news-source/newsweek","left-center","1499","1925","0.7787012987012987","somewhat disagrees","http://www.thedailybeast.com/newsweek.html"
"NMPolitics.net","https://www.allsides.com/news-source/nmpoliticsnet","center","112","164","0.6829268292682927","somewhat disagrees","http://nmpolitics.net/"
"NPR Editorial","https://www.allsides.com/news-source/npr-editorial","left-center","926","997","0.9287863590772317","somewhat disagrees","https://www.npr.org/sections/opinion/"
"NPR News","https://www.allsides.com/news-source/npr-media-bias","center","16489","11427","1.4429859105627023","somewhat agrees","http://www.npr.org/"
"One America News Network","https://www.allsides.com/news-source/one-america-news-network-media-bias","right-center","257","271","0.948339483394834","somewhat disagrees",""
"Orange County Register","https://www.allsides.com/news-source/orange-county-register","right-center","180","128","1.40625","somewhat agrees","http://www.ocregister.com/"
"Pacific Standard","https://www.allsides.com/news-source/pacific-standard","left-center","262","238","1.1008403361344539","somewhat agrees","http://www.psmag.com/"
"PBS NewsHour","https://www.allsides.com/news-source/pbs-newshour","center","1802","1279","1.4089132134480062","somewhat agrees","http://www.pbs.org/newshour/"
"Peacock Panache","https://www.allsides.com/news-source/peacock-panache","left","127","61","2.081967213114754","strongly agrees","http://www.peacock-panache.com/"
"Pittsburgh Post-Gazette","https://www.allsides.com/news-source/pittsburgh-post-gazette","right-center","162","185","0.8756756756756757","somewhat disagrees","http://www.post-gazette.com"
"PJ Media","https://www.allsides.com/news-source/pj-media-media-bias","right-center","51","38","1.3421052631578947","somewhat agrees",""
"PJ Media","https://www.allsides.com/news-source/pj-media","right","85","45","1.8888888888888888","agrees","https://pjmedia.com/"
"Politico","https://www.allsides.com/news-source/politico-media-bias","left-center","11554","19082","0.6054920867833561","disagrees","http://www.politico.com/"
"PoliticusUSA","https://www.allsides.com/news-source/politicususa","left","710","218","3.256880733944954","absolutely agrees","http://www.politicususa.com/"
"PolitiFact","https://www.allsides.com/news-source/politifact","left-center","1142","1861","0.6136485760343902","disagrees","http://www.politifact.com/"
"Portland Press Herald","https://www.allsides.com/news-source/portland-press-herarld","center","138","211","0.6540284360189573","disagrees","http://www.pressherald.com/"
"PRI (Public Radio International)","https://www.allsides.com/news-source/pri-public-radio-international","center","555","305","1.819672131147541","agrees","http://www.pri.org/"
"ProCon.org","https://www.allsides.com/news-source/proconorg","allsides","2291","1380","1.6601449275362319","agrees","http://www.procon.org/"
"Progressive Voices of Iowa","https://www.allsides.com/news-source/progressive-voices-iowa","left","122","54","2.259259259259259","strongly agrees","https://progressivevoicesofiowa.com/"
"ProPublica","https://www.allsides.com/news-source/propublica","center","705","431","1.6357308584686774","agrees","http://www.propublica.org/"
"PXW News","https://www.allsides.com/news-source/pxw-news","center","116","104","1.1153846153846154","somewhat agrees","http://www.pxw.news"
"Quartz","https://www.allsides.com/news-source/quartz","center","368","332","1.108433734939759","somewhat agrees","http://qz.com/"
"Quillette","https://www.allsides.com/news-source/quillette-media-bias","right-center","70","169","0.41420118343195267","strongly disagrees",""
"Rasmussen Reports","https://www.allsides.com/news-source/rasmussen-reports","center","391","599","0.6527545909849749","disagrees",""
"Raw Story","https://www.allsides.com/news-source/raw-story","left","411","235","1.748936170212766","agrees","http://www.rawstory.com/"
"RealClearPolitics","https://www.allsides.com/news-source/real-clear-politics","center","2027","1663","1.2188815393866506","somewhat agrees","http://www.realclearpolitics.com/"
"Reason","https://www.allsides.com/news-source/reason","right-center","4040","2716","1.4874815905743741","somewhat agrees","http://reason.org/"
"Record Journal","https://www.allsides.com/news-source/record-journal","center","88","108","0.8148148148148148","somewhat disagrees","http://www.myrecordjournal.com/home/"
"Red State","https://www.allsides.com/news-source/red-state","right","538","166","3.2409638554216866","absolutely agrees",""
"Reuters","https://www.allsides.com/news-source/reuters","center","4675","3280","1.4253048780487805","somewhat agrees","http://www.reuters.com/"
"Richmond Times Dispatch","https://www.allsides.com/news-source/richmond-times-dispatch","right-center","184","129","1.426356589147287","somewhat agrees","http://www.richmond.com/"
"Right - Major Media Sources","https://www.allsides.com/news-source/right-major-publications","right","239","232","1.0301724137931034","somewhat agrees",""
"Right Side News","https://www.allsides.com/news-source/right-side-news","right","361","175","2.0628571428571427","strongly agrees","http://www.rightsidenews.com/"
"Right Wing News","https://www.allsides.com/news-source/right-wing-news","right","316","128","2.46875","strongly agrees",""
"Roll Call","https://www.allsides.com/news-source/roll-call-media-bias","center","14","7","2.0","agrees",""
"RollingStone.com","https://www.allsides.com/news-source/rolling-stone","left","1196","331","3.6132930513595167","absolutely agrees","http://www.rollingstone.com/"
"Salon","https://www.allsides.com/news-source/salon","left","9075","4358","2.0823772372648004","strongly agrees","http://www.salon.com/"
"San Francisco Chronicle","https://www.allsides.com/news-source/san-francisco-chronicle","left","392","161","2.4347826086956523","strongly agrees",""
"San Jose Mercury News","https://www.allsides.com/news-source/san-jose-mercury-news","left-center","274","323","0.848297213622291","somewhat disagrees","http://www.mercurynews.com/"
"Saturday Evening Post","https://www.allsides.com/news-source/saturday-evening-post-media-bias","center","105","79","1.3291139240506329","somewhat agrees",""
"Science Daily","https://www.allsides.com/news-source/science-daily","center","366","211","1.7345971563981042","agrees","https://www.sciencedaily.com/"
"Scientific American","https://www.allsides.com/news-source/scientific-american","center","844","380","2.221052631578947","strongly agrees","http://www.scientificamerican.com/"
"SF Weekly","https://www.allsides.com/news-source/sf-weekly","center","181","259","0.6988416988416989","somewhat disagrees","http://www.sfweekly.com/"
"SFGate","https://www.allsides.com/news-source/sf-gate","left-center","336","384","0.875","somewhat disagrees","http://www.sfgate.com/"
"Sky-Hi Daily News","https://www.allsides.com/news-source/sky-hi-daily-news","left-center","102","83","1.2289156626506024","somewhat agrees","http://www.skyhidailynews.com/"
"Slate","https://www.allsides.com/news-source/slate","left","1889","1897","0.9957828149710068","somewhat disagrees",""
"Smerconish","https://www.allsides.com/news-source/smerconish-media-bias","center","73","109","0.6697247706422018","disagrees","http://www.smerconish.com"
"Socialist Alternative","https://www.allsides.com/news-source/socialist-alternative","left","341","139","2.4532374100719423","strongly agrees","http://www.socialistalternative.org/"
"Socialist Project/The Bullet","https://www.allsides.com/news-source/socialist-projectthe-bullet","left","287","119","2.411764705882353","strongly agrees",""
"Splinter","https://www.allsides.com/news-source/splinter-media-bias","left","57","15","3.8","absolutely agrees",""
"Spokesman Review","https://www.allsides.com/news-source/spokesman-review","left-center","147","158","0.930379746835443","somewhat disagrees","http://www.spokesman.com/"
"State Journal","https://www.allsides.com/news-source/state-journal","left-center","124","166","0.7469879518072289","somewhat disagrees","http://www.state-journal.com/"
"Suspend Belief Podcast","https://www.allsides.com/news-source/suspend-belief-podcast","allsides","110","133","0.8270676691729323","somewhat disagrees","http://suspendbeliefpodcast.com/"
"Tallahassee Democrat","https://www.allsides.com/news-source/tallahassee-democrat","left","180","164","1.0975609756097562","somewhat agrees","http://www.tallahassee.com/"
"TechCrunch","https://www.allsides.com/news-source/techcrunch-0","center","281","162","1.7345679012345678","agrees","http://techcrunch.com/"
"Teen Vogue","https://www.allsides.com/news-source/teen-vogue","left-center","230","320","0.71875","somewhat disagrees","http://www.teenvogue.com/"
"Test Source","https://www.allsides.com/news-source/test-source","center","99","108","0.9166666666666666","somewhat disagrees","http://www.foxnews.com/"
"The Advocate-Messenger","https://www.allsides.com/news-source/advocate-messenger","left-center","123","139","0.8848920863309353","somewhat disagrees","http://www.centralkynews.com/amnews/"
"The American Conservative","https://www.allsides.com/news-source/american-conservative-media-bias","right-center","88","93","0.946236559139785","somewhat disagrees","http://www.theamericanconservative.com"
"The Atlantic","https://www.allsides.com/news-source/atlantic","left-center","2883","1859","1.5508337816030124","agrees","http://www.theatlantic.com/"
"The Boston Globe","https://www.allsides.com/news-source/boston-globe","left-center","1068","887","1.2040586245772267","somewhat agrees","http://www.bostonglobe.com/"
"The Cadiz Record","https://www.allsides.com/news-source/cadiz-record","left-center","105","128","0.8203125","somewhat disagrees","http://www.cadizrecord.com/"
"The Canyon County Zephyr","https://www.allsides.com/news-source/canyon-county-zephry","left","130","83","1.5662650602409638","agrees","http://www.canyoncountryzephyr.com/"
"The College Fix","https://www.allsides.com/news-source/college-fix","right","70","60","1.1666666666666667","somewhat agrees",""
"The Commercial Appeal","https://www.allsides.com/news-source/commercial-appeal","left-center","111","138","0.8043478260869565","somewhat disagrees","http://www.commercialappeal.com/"
"The Courier-Journal","https://www.allsides.com/news-source/courier-journal","left-center","75","165","0.45454545454545453","strongly disagrees","http://www.courier-journal.com/"
"The Daily Caller","https://www.allsides.com/news-source/daily-caller","right","3155","1961","1.6088730239673636","agrees","http://dailycaller.com/"
"The Daily Show (humor)","https://www.allsides.com/news-source/daily-show","left-center","782","1024","0.763671875","somewhat disagrees","http://www.thedailyshow.com/"
"The Daily Signal","https://www.allsides.com/news-source/daily-signal","right","149","38","3.9210526315789473","absolutely agrees",""
"The Daily Wire","https://www.allsides.com/news-source/daily-wire","right","1295","628","2.0621019108280256","strongly agrees","http://www.dailywire.com/"
"The Delaware County Daily Times","https://www.allsides.com/news-source/delaware-county-daily-times","left-center","129","143","0.9020979020979021","somewhat disagrees","http://www.delcotimes.com/"
"The Economist","https://www.allsides.com/news-source/economist","left-center","864","1811","0.4770844837106571","strongly disagrees","http://www.economist.com/"
"The Federalist","https://www.allsides.com/news-source/federalist","right","1396","909","1.5357535753575358","agrees","http://thefederalist.com/"
"The Gateway Pundit","https://www.allsides.com/news-source/gateway-pundit","right","384","244","1.5737704918032787","agrees","http://www.thegatewaypundit.com/"
"The Guardian","https://www.allsides.com/news-source/guardian","left-center","4562","2760","1.6528985507246376","agrees","https://www.theguardian.com/us"
